id,nome,categoria,escopo,autores,corpo,versao_observada,disponibilidade,verificacao,consultado_em,requisitos_parciais,lista_requisitos_consultada,redistribuicao,url_fonte,observacoes,arquivo_na_release
courier-poetica-spid,Holy's Courier - BDOR Poetica - SPID,integracoes,principal,sweetinsanity9,,1,page_available,page_read,2026-09-06,"Courier Replacer, de holymurder; Spell Perk Item Distributor (SPID); BDOR Poetica SE",sim,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/156140,"Não contém automaticamente o replacer, a armadura ou o SPID. | O link externo do traje é uma dependência indicada pelo autor do patch, não uma permissão de reupload.",nao
armor-traders-2,Armor Traders 2 — integrações BDO,integracoes,principal,,,,unverified,search_index,2026-09-06,Conferir requisitos da versão e das opções escolhidas na publicação,nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/45139,Também integra conteúdo de outros jogos/autores. Apenas as opções BDO são o foco desta referência. | Não assumir que todos os trajes opcionais estejam incluídos no arquivo principal.,nao
armor-traders-3,Smugglers - Armor Traders 3 — integrações BDOR,integracoes,principal,,,,unverified,search_index,2026-09-06,,nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/49979,"Integração mista, não um pack exclusivamente Black Desert. | Confirmar as dependências da opção escolhida e os arquivos-base das armaduras.",nao
frea-valkyrie,Oh My Frea - Valkyrie,personagens,principal,,,,unverified,search_index,2026-09-06,RaceMenu; KS Hairdos SSE; BDO Valkyrie (variante equipada); Eimar's Edge SSE (variante equipada),nao,forbidden,https://www.nexusmods.com/skyrimspecialedition/mods/137438,"A fonte distingue a versão Valkyrie da versão NonOutfit, que muda somente o rosto. | Texturas de pele recomendadas não são automaticamente requisitos obrigatórios. | Ler a advertência específica do autor sobre BodySlide da roupa BDO Valkyrie.",nao
hidden-crafting,BDOR Complete Collection - Craftable and Temperable,patches,historico,,,,hidden,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/103046,"O índice mostra publicação oculta desde 10/04/2024. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
hidden-leveled,Parche para distribuir a las listas niveladas las armaduras del Black Desert,patches,historico,,,,hidden,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/101137,"O índice mostra publicação oculta desde 23/12/2024. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
removed-outfits-spid,Black Desert Online Outfits 2024 - SPID NPC Distribution,patches,historico,,,,removed,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/114311,"O índice informa remoção pela equipe do site. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
removed-bdor-spid,BDOR Armor SPID,patches,historico,,,,removed,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/99499,"O índice informa que a página/arquivo não pode ser localizado. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
removed-hair-edits,JJakeno's edits - Dint's BDOr Hairstyles,patches,historico,,,,removed,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/95701,"O índice informa remoção pelo autor. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
removed-unisex-pocketdirt,Dint's BDOR SMP Hair and Wigs - Unisex Patch,patches,historico,,,,removed,search_index,2026-09-06,,nao,unverified,https://www.nexusmods.com/skyrimspecialedition/mods/127090,"O índice da página-base informa remoção pela equipe, embora um resultado antigo da aba Files ainda mostre conteúdo. | Sem tentativa de recuperar arquivos ocultos, usar IDs antigos ou recorrer a mirrors não autorizados.",nao
